timestamp,loop_idx,est_x,est_y,meas_x,meas_y,goal_x,goal_y,goal_label,calibration_offset_deg,px_per_speed_per_sec,last_command_heading_deg,last_command_speed,dist_to_goal,dist_to_center,prediction_error_px,ball_found,target_found,safety_active,stuck_frames,meas_vx,meas_vy,est_vx,est_vy,calib_belief_ok,calib_belief_drift,calib_belief_bad,calib_obs,calib_action
2025-11-28T18:39:00.685943,36,501.95584343027923,114.59321380088764,528,93,320,240,CENTER,188.5563225943055,3.3694569588156145,46.86846419937805,21.0,220.9859520042262,220.9859520042262,33.83141991816149,1,0,0,0,109.5316239393874,-97.6260126416279,109.5316239393874,-97.6260126416279,0.23192018056151056,0.6904980211237677,0.07758179831472174,1,1.0
2025-11-28T18:39:01.120595,37,537.3823373721117,87.23728552035506,561,69,320,240,CENTER,188.5563225943055,3.3694569588156145,46.3465269855767,21.0,265.6906613649642,265.6906613649642,29.83944656249013,1,0,1,0,71.2634267623422,-51.827946736248876,71.2634267623422,-51.827946736248876,0.14375343156959933,0.7933005168983277,0.0629460515320731,1,1.0
2025-11-28T18:39:01.560378,38,570.7529349488448,61.294914208142025,593,44,621,86,PERSON,188.5563225943055,3.3694569588156145,45.967194946104456,21.0,55.99204238316449,307.91645307345124,28.178821140305452,1,1,1,0,73.62226236232618,-57.51739247056733,73.62226236232618,-57.51739247056733,0.044462612626320966,0.6848214023822043,0.27071598499147476,2,1.0
2025-11-28T18:39:02.176176,39,602.7011739795379,35.91796568325681,624,19,621,88,PERSON,188.5563225943055,3.3694569588156145,45.618151960418345,21.0,55.20312792131943,348.66808070178905,27.200322658192295,1,1,1,0,70.64682029763034,-56.97324217550833,70.64682029763034,-56.97324217550833,0.016707199478489594,0.42997937577675127,0.5533134247447592,2,1.0
2025-11-28T18:39:02.786873,40,624.4804695918151,14.367186273302725,639,0,621,85,PERSON,188.5563225943055,3.3694569588156145,44.90367851389689,21.0,70.71851273556214,378.9703457964471,20.42627730855488,1,1,1,0,24.30089676208516,-30.781135898641203,24.30089676208516,-30.781135898641203,0.007498446647868692,0.2182776264944602,0.7742239268576712,2,1.0
2025-11-28T18:39:03.401471,41,598.9921878367261,45.946874509321084,582,67,621,84,PERSON,187.53763672846443,3.3694569588156145,47.64180419897738,21.0,43.958891658267554,339.8429878438339,27.0549171206429,1,1,1,0,-93.40697057474462,109.79415839487525,-93.40697057474462,109.79415839487525,0.003990843854611419,0.1106372900615,0.8853718660838885,2,1.0
2025-11-28T18:39:03.912037,42,577.3968751346904,70.57874980372843,563,87,320,240,CENTER,186.56199942441623,3.3694569588156145,50.0846800873025,21.0,308.15046867913577,308.15046867913577,21.838669182265104,1,0,1,0,-30.874894183491733,32.49988861420182,-30.874894183491733,32.49988861420182,0.0027031143257914008,0.0682148405921493,0.9290820450820593,2,1.0
2025-11-28T18:39:04.376210,43,556.7587500538762,94.23149992149138,543,110,320,240,CENTER,185.4741666646212,3.3694569588156145,52.90590397980813,21.0,278.03446070984074,278.03446070984074,20.9272262321351,1,0,1,0,-39.38814750609115,45.296369632004826,-39.38814750609115,45.296369632004826,0.0022542637874809557,0.05318333397401849,0.9445624022385005,2,1.0
2025-11-28T18:39:04.826179,44,534.1035000215504,116.89259996859656,519,132,320,240,CENTER,184.53704396640848,3.3694569588156145,55.56447904715344,21.0,246.9731577802941,246.9731577802941,21.362332471193827,1,0,0,0,-51.70530277892777,47.39652754735046,-51.70530277892777,47.39652754735046,0.0021018627120874952,0.048060253301110675,0.9498378839868018,2,1.0
2025-11-28T18:39:05.291544,45,523.2414000086201,130.15703998743862,516,139,320,240,CENTER,183.08189349155995,3.3694569588156145,58.52885193004866,21.0,231.02498250575644,231.02498250575644,11.429602612015973,1,0,0,0,-6.6523844442129985,15.522230369830329,-6.6523844442129985,15.522230369830329,0.018227805243677474,0.2265353616021653,0.7552368331541572,1,1.0
2025-11-28T18:39:05.726005,46,493.696560003448,155.26281599497545,474,172,320,240,CENTER,182.24420212831106,3.3694569588156145,61.75054562926019,21.0,193.26377133372097,193.26377133372097,25.84739453769908,1,0,0,0,-90.25184335102568,70.91216263294875,-90.25184335102568,70.91216263294875,0.03441707648464335,0.43108717281567566,0.534495750699681,1,1.0
